date,bank_pct,police_pct,local_gov_pct,helpline_pct,not_reported_pct,n_fraud_victims
2024-03-01,1.1722077455917645,0.85730560381570875,0,0,98.20653573368652,65
2024-04-01,1.0129366786068341,8.53058003959377,0,0,90.4564832817994,30
2024-05-01,10.110843667659887,4.046205132343457,4.365120215784392,9.529848083225538,71.94798290098673,27
2024-06-01,29.137010573286933,2.3104897511255977,0,0,69.80740695676987,28
2024-07-01,7.092240164107631,13.81136383058844,0,0,79.09639600530393,25
2024-08-01,0,0,0,0,100,20
2024-09-01,6.932137226772121,0,0,0,93.06786277322789,11
2024-10-01,2.737790885734789,0,0,0,97.2622091142652,7
2024-11-01,0,0,0,0,100,14
2024-12-01,4.888257167394286,2.379351698051301,0,0,95.11174283260571,16
2025-01-01,5.617678820903295,4.042641313315252,0,0,90.33967986578145,18
2025-02-01,3.1985353943839563,31.901306803366403,0,0,64.90015780224965,12
2025-03-01,0,0,0,0,100,7
2025-04-01,57.04314544369584,0,0,0,42.95685455630416,9
2025-05-01,17.763534107622046,0,0,0,82.23646589237795,12
2025-06-01,19.578383660288413,0,5.612106770232987,0,74.8095095694786,14
2025-07-01,45.49833917743258,0,0,8.557336311412572,45.94432451115485,15
2025-08-01,0,0,0,0,100,10
2025-09-01,13.687499145571985,0,0,7.516460012904963,78.79604084152305,11
2025-10-01,0,0,0,0,100,8
