date,trust_category,weighted_count,percentage,account_type
2024-03-01,Somewhat safe,187860372.3184204,70.11044773898406,Traditional Bank
2024-03-01,Somewhat unsafe,17182576.458984375,6.412625046898189,Traditional Bank
2024-03-01,Very safe,61361719.982666016,22.900506418282248,Traditional Bank
2024-03-01,Very unsafe,1544514.81640625,0.5764207958354985,Traditional Bank
2024-04-01,Somewhat safe,198648590.0336914,71.8319673548938,Traditional Bank
2024-04-01,Somewhat unsafe,18190256.392089844,6.577655059681701,Traditional Bank
2024-04-01,Very safe,58326310.85131836,21.09098109527334,Traditional Bank
2024-04-01,Very unsafe,1381062.11328125,0.499396490151146,Traditional Bank
2024-05-01,Somewhat safe,194600120.31274414,71.70248956253552,Traditional Bank
2024-05-01,Somewhat unsafe,16684193.831420898,6.147469138940878,Traditional Bank
2024-05-01,Very safe,58505568.334472656,21.557000561515117,Traditional Bank
2024-05-01,Very unsafe,1609508.951171875,0.593040737008481,Traditional Bank
2024-06-01,Somewhat safe,201478675.99926758,73.01640301543647,Traditional Bank
2024-06-01,Somewhat unsafe,12994434.486328125,4.709217294116375,Traditional Bank
2024-06-01,Very safe,59821133.716308594,21.67933646876944,Traditional Bank
2024-06-01,Very unsafe,1641939.5576171875,0.5950432216777117,Traditional Bank
2024-07-01,Somewhat safe,184505162.89953613,67.59505128633427,Traditional Bank
2024-07-01,Somewhat unsafe,16029486.939941406,5.872540230155742,Traditional Bank
2024-07-01,Very safe,71126407.46264648,26.057770333874952,Traditional Bank
2024-07-01,Very unsafe,1295556.2197265625,0.4746381496350339,Traditional Bank
2024-08-01,Somewhat safe,201416829.10424805,73.72097857937612,Traditional Bank
2024-08-01,Somewhat unsafe,15150944.117919922,5.5454275183549795,Traditional Bank
2024-08-01,Very safe,55802511.735839844,20.424389514264625,Traditional Bank
2024-08-01,Very unsafe,844793.009765625,0.3092043880042634,Traditional Bank
2024-09-01,Somewhat safe,195712170.0036621,70.85233608954763,Traditional Bank
2024-09-01,Somewhat unsafe,14489211.759765625,5.245430068331115,Traditional Bank
2024-09-01,Very safe,62178779.54736328,22.510157575000264,Traditional Bank
2024-09-01,Very unsafe,3845268.654296875,1.392076267120981,Traditional Bank
2024-10-01,Somewhat safe,205219462.359375,74.85465756518764,Traditional Bank
2024-10-01,Somewhat unsafe,13386339.99609375,4.882723524068317,Traditional Bank
2024-10-01,Very safe,53046689.3190918,19.349001884596916,Traditional Bank
2024-10-01,Very unsafe,2504747.212890625,0.9136170261471338,Traditional Bank
2024-11-01,Somewhat safe,200546875.9819336,72.6137971164398,Traditional Bank
2024-11-01,Somewhat unsafe,13486086.434570313,4.88302766851815,Traditional Bank
2024-11-01,Very safe,59967868.994140625,21.713101494725088,Traditional Bank
2024-11-01,Very unsafe,2182048.3530273438,0.7900737203169546,Traditional Bank
2024-12-01,Somewhat safe,197086806.08325195,71.59283754047925,Traditional Bank
2024-12-01,Somewhat unsafe,13171599.362304688,4.784653990969988,Traditional Bank
2024-12-01,Very safe,62203195.07397461,22.595643655357993,Traditional Bank
2024-12-01,Very unsafe,2826840.1318359375,1.0268648131927651,Traditional Bank
2025-01-01,Somewhat safe,198242034.15283203,71.9746492673734,Traditional Bank
2025-01-01,Somewhat unsafe,20394592.7890625,7.404553071787101,Traditional Bank
2025-01-01,Very safe,53725663.998535156,19.505882490946362,Traditional Bank
2025-01-01,Very unsafe,3070845.8247070313,1.1149151698931408,Traditional Bank
2025-02-01,Somewhat safe,200062904.4946289,72.59825874138201,Traditional Bank
2025-02-01,Somewhat unsafe,17092811.260742188,6.202590818420735,Traditional Bank
2025-02-01,Very safe,55912189.989746094,20.289256751152845,Traditional Bank
2025-02-01,Very unsafe,2507442.7041015625,0.9098936890444023,Traditional Bank
2025-03-01,Somewhat safe,211253034.76513672,76.96714044376155,Traditional Bank
2025-03-01,Somewhat unsafe,14119580.443359375,5.144275121061486,Traditional Bank
2025-03-01,Very safe,46734669.439453125,17.027134641347082,Traditional Bank
2025-03-01,Very unsafe,2364436.072265625,0.8614497938298836,Traditional Bank
2025-05-01,Somewhat safe,202304945.41552734,73.4073172684878,Traditional Bank
2025-05-01,Somewhat unsafe,20667905.93310547,7.4994485428446085,Traditional Bank
2025-05-01,Very safe,49708130.291503906,18.036832879378995,Traditional Bank
2025-05-01,Very unsafe,2911361.1171875,1.0564013092886004,Traditional Bank
2025-07-01,Somewhat safe,201672695.82080078,73.29952332427911,Traditional Bank
2025-07-01,Somewhat unsafe,22497096.694335938,8.176746272784026,Traditional Bank
2025-07-01,Very safe,49009451.165527344,17.812869482390127,Traditional Bank
2025-07-01,Very unsafe,1955827.701171875,0.7108609205467494,Traditional Bank
2025-09-01,Somewhat safe,211563061.14892578,76.55433986521926,Traditional Bank
2025-09-01,Somewhat unsafe,24970687.922851563,9.035672482393606,Traditional Bank
2025-09-01,Very safe,36367366.67871094,13.159573952114862,Traditional Bank
